From	To
P62161	Calm1
P62161	Calm2
P62161	Calm3
Q16665	HIF1A
P62873	GNB1
P03281	IX
Q9JI59	Jam2
Q8Y6A8	inlC
Q9IH62	G
Q9Y468	L3MBTL1
Q53EZ4	CEP55
Q06830	PRDX1
O00257	CBX4
Q12840	KIF5A
P52306	RAP1GDS1
O60573	EIF4E2
P57775	FBXW4
Q92833	JARID2
Q03167	TGFBR3
P57081	WDR4
O75716	STK16
Q969F2	NKD2
Q786F2	H
P04273	PRNP
Q16667	CDKN3
Q9Y235	APOBEC2
O95150	TNFSF15
A0FGR9	ESYT3
P20309	CHRM3
Q8IXK0	PHC2
O15212	PFDN6
P24158	PRTN3
P12004	PCNA
P49769	Psen1
Q9Y4E8	USP15
P56159	GFRA1
Q9UKT7	FBXL3
Q9NUS5	AP5S1
P28028	Braf
P29084	GTF2E2
Q01105	SET
O88850	Hipk3
P22455	FGFR4
P05111	INHA
O88838	Spsb2
P45973	CBX5
J9P3Y7	RYR2
P56856	CLDN18
O14672	ADAM10
Q6PFX9	Tnks
Q6GN08	ncapd3
Q8NC51	SERBP1
P00751	CFB
Q9ES74	Nek7
O15243	LEPROT
P82094	TMF1
P35249	RFC4
Q8WUI4	HDAC7
P05231	IL6
O00221	NFKBIE
P24723	PRKCH
Q8WXI9	GATAD2B
Q96FE5	LINGO1
P10997	IAPP
Q8TDX7	NEK7
P54577	YARS
P39052	Dnm2
O55128	Sap18
O60260	PARK2
Q9VJ12	Acn
Q9JI10	Stk3
O15318	POLR3G
Q13905	RAPGEF1
Q9ULG1	INO80
O60506	SYNCRIP
Q62622	Eif4ebp1
P68951	L2
Q16832	DDR2
P20592	MX2
P98078	Dab2
Q9R016	Naip5
O95782	AP2A1
P07339	CTSD
Q91YS4	Klc2
Q9H444	CHMP4B
P09382	LGALS1
Q9UJF2	RASAL2
Q9CQ39	Med21
Q8NHZ8	CDC26
Q5ZVS2	lpg1368
Q7Z6G8	ANKS1B
O60306	AQR
P37108	SRP14
P29678	MAP2K1
O00482	NR5A2
Q9Y230	RUVBL2
P23804	Mdm2
Q03135	CAV1
P98171	ARHGAP4
P56716	Rp1
Q01853	Vcp
Q06413	MEF2C
O94762	RECQL5
P52292	KPNA2
Q08881	ITK
Q86VP6	CAND1
P04196	HRG
Q6P1J9	CDC73
F8W7T7	ZNF44
Q8IUQ4	SIAH1
P00489	PYGM
P05141	SLC25A5
P88987	BNLF1
O43294	TGFB1I1
O43566	RGS14
Q6TCH7	PAQR3
P49591	SARS
Q8TAP4	LMO3
Q8WWI1	LMO7
P26687	Twist1
Q96E22	NUS1
Q92922	SMARCC1
P05155	SERPING1
Q9NXG0	CNTLN
P10242	MYB
Q96NB3	ZNF830
Q14964	RAB39A
Q9BY44	EIF2A
Q13084	MRPL28
P62807	HIST1H2BC
P62807	HIST1H2BE
P62807	HIST1H2BF
P62807	HIST1H2BG
P62807	HIST1H2BI
Q969G5	PRKCDBP
Q811T9	Disc1
Q9WUL7	Arl3
P18509	ADCYAP1
P63165	SUMO1
Q6FI81	CIAPIN1
P89884	v-bcl-2
P35348	ADRA1A
Q9H9A5	CNOT10
P02829	HSP82
Q9PVK1	ADMP
O15143	ARPC1B
A6NHX0	GATSL2
P04839	CYBB
P23198	Cbx3
P41273	TNFSF9
P50539	MXI1
P27797	CALR
Q9NZQ7	CD274
Q07325	CXCL9
O95185	UNC5C
P04406	GAPDH
Q7BMV7	gna2132
Q68CP9	ARID2
P60891	PRPS1
P01033	TIMP1
P80098	CCL7
Q6Q477	Atp2b4
Q9H3D4	TP63
O75909	CCNK
Q13191	CBLB
Q86SZ2	TRAPPC6B
O60885	BRD4
P00514	PRKAR1A
Q13596	SNX1
P60900	PSMA6
Q5JRX3	PITRM1
Q15393	SF3B3
P88988	BNRF1
P08476	INHBA
P54132	BLM
Q90693	PTCH1
P51686	CCR9
P01137	TGFB1
Q60838	Dvl2
Q9NZI8	IGF2BP1
P08603	CFH
Q9H4L4	SENP3
Q9BRT9	GINS4
O14686	KMT2D
P55064	AQP5
P06492	UL48
O75340	PDCD6
P01563	IFNA2
Q9D0A0	Det1
P06766	Polb
Q9NVI1	FANCI
Q9ERG0	Lima1
Q6ZW61	BBS12
P31273	HOXC8
Q77PU6	U90
Q62074	Prkci
Q9UKG1	APPL1
P04234	CD3D
P60605	Ube2g2
A6H4P0	G
P41226	UBA7
O43929	ORC4
Q9UMX0	UBQLN1
P05958	vpr
Q8VGC3	Cacnb2
Q2M3G4	SHROOM1
Q5VTQ0	TTC39B
P20839	IMPDH1
Q969G9	NKD1
O60879	DIAPH2
Q14527	HLTF
P02778	CXCL10
P03989	HLA-B
Q9UBS5	GABBR1
Q6P2E9	EDC4
Q9Y448	KNSTRN
P04618	rev
Q9H816	DCLRE1B
Q6UWZ7	FAM175A
P63010	AP2B1
Q16520	BATF
P20809	IL11
Q9UBG7	RBPJL
D5MTH0	Ubr2
Q9EPU5	Tnfrsf21
P53992	SEC24C
P42866	Oprm1
P29590	PML
Q01405	Sec23a
Q99665	IL12RB2
Q9Y6W5	WASF2
P49682	CXCR3
P20827	EFNA1
Q99PV5	Bhlhe41
O70552	Btg4
P60706	ACTB
O15111	CHUK
Q6UUV7	CRTC3
O15350	TP73
P15498	VAV1
Q9UNG2	TNFSF18
Q99728	BARD1
Q96EB6	SIRT1
P01127	PDGFB
Q8R3L8	Cdk8
Q8ZMM8	pipB2
P36873	PPP1CC
