Gene,Uniprot_ID,DIP_ID,Degree_Centrality,Betweenness_Centrality
AR,P10275,DIP-125N,0.009591836734693878,0.04898386237240877
CTNNB1,P35222,DIP-122N,0.00836734693877551,0.04181249059840908
RB1,P06400,DIP-582N,0.0069387755102040816,0.0157508801119653
TNF,P01375,DIP-2895N,0.006530612244897959,0.022653742048280755
RAF1,P04049,DIP-1048N,0.006326530612244898,0.011445826832621863
CALM3,P62158,DIP-31794N,0.006326530612244898,0.013646552853175328
KDM1A,O60341,DIP-34641N,0.006122448979591837,0.019069238443333945
POLR2C,P19387,DIP-32911N,0.006122448979591837,0.007234423179872905
CUL1,Q13616,DIP-17013N,0.005918367346938775,0.014595408698379476
EGFR,P00533,DIP-405N,0.005918367346938775,0.028095567715295595
ESR1,P03372,DIP-5965N,0.005918367346938775,0.01351543668157954
TRAF6,Q9Y4K3,DIP-27515N,0.005714285714285714,0.01910045966102488
HSP90AA1,P07900,DIP-27595N,0.005714285714285714,0.019420653635792418
HIST1H3J,P68431,DIP-29371N,0.005714285714285714,0.006520598478491747
NFKBIB,Q15653,DIP-27532N,0.005510204081632653,0.008526627128456928
YAP1,P46937,DIP-40839N,0.005510204081632653,0.012883780386330989
IKBKG,Q9Y6K9,DIP-27528N,0.005306122448979592,0.008548867395252376
HDAC1,Q13547,DIP-24184N,0.005306122448979592,0.00794710003651418
AKT1,P31749,DIP-24269N,0.005306122448979592,0.02258226371260319
NFKBIA,P25963,DIP-139N,0.005102040816326531,0.013342200927511797
MDM2,Q00987,DIP-392N,0.005102040816326531,0.012588384010233575
DDB1,Q16531,DIP-430N,0.005102040816326531,0.006220376046624614
RELA,Q04206,DIP-24238N,0.005102040816326531,0.00869037594406899
PLK1,P53350,DIP-29696N,0.004897959183673469,0.006421602292783501
NFKB1,P19838,DIP-106N,0.004897959183673469,0.006385079125665967
SUMO1,P63165,DIP-29080N,0.004693877551020408,0.007919843146783052
CAV1,Q03135,DIP-5960N,0.004693877551020408,0.020696631379523614
AGO2,Q9UKV8,DIP-29194N,0.004693877551020408,0.017819715300293526
HIST4H4,P62805,DIP-33079N,0.004489795918367347,0.007823720315381614
CDC73,Q6P1J9,DIP-37884N,0.004489795918367347,0.007064717369724266
TBP,P20226,DIP-1078N,0.004489795918367347,0.005588525332355362
PCNA,P12004,DIP-1098N,0.004489795918367347,0.00992484345122939
HRAS,P01112,DIP-1050N,0.004489795918367347,0.008495012798443728
URM1,Q9BTM9,DIP-48631N,0.004489795918367347,0.014416898426855876
CREBBP,Q92793,DIP-952N,0.004489795918367347,0.013614401062081014
BAX,Q07812,DIP-232N,0.004285714285714286,0.005796361559475015
MAP1LC3B,Q9GZQ8,DIP-29760N,0.004285714285714286,0.01389257523254107
BECN1,Q14457,DIP-44611N,0.004285714285714286,0.012724476707997912
RAC1,P63000,DIP-29260N,0.004285714285714286,0.010231938097539455
SIRT1,Q96EB6,DIP-29757N,0.004285714285714286,0.014707599573797886
IKBKB,O14920,DIP-27527N,0.004285714285714286,0.004186701820576289
RNF2,Q99496,DIP-40034N,0.004081632653061225,0.013084302791465016
INSR,P06213,DIP-480N,0.004081632653061225,0.016071025504159366
UBE2I,P63279,DIP-29078N,0.004081632653061225,0.008006446711253433
AUTS2,Q8WXX7,DIP-61355N,0.004081632653061225,0.004898510445802243
CENPA,P49450,DIP-52297N,0.004081632653061225,0.01478871144418624
ANAPC4,Q9UJX5,DIP-56450N,0.0038775510204081634,0.0024333023592900014
MED1,Q15648,DIP-24212N,0.0038775510204081634,0.004051717755164408
Cyfip2,Q5SQX6,DIP-32111N,0.0038775510204081634,0.0050054578994681844
ULK1,O75385,DIP-35196N,0.0038775510204081634,0.015738855008509415
LRP6,O75581,DIP-29884N,0.0038775510204081634,0.00948654609663968
GAMMAHV.ORF40,O41957,DIP-47233N,0.0038775510204081634,0.005083371090649818
CDK8,P49336,DIP-32595N,0.0036734693877551023,0.0019003711988854418
TAL1,P17542,DIP-40640N,0.0036734693877551023,0.004647482536898264
HDAC3,O15379,DIP-24253N,0.0036734693877551023,0.007163928947127787
SRC,P12931,DIP-1059N,0.0036734693877551023,0.010181866999477767
H2AFX,P16104,DIP-33604N,0.0036734693877551023,0.005799546914549982
FLNA,P21333,DIP-1136N,0.0036734693877551023,0.035009695354579644
JUN,P05412,DIP-5961N,0.0036734693877551023,0.011778257198607452
DPY30,Q9C005,DIP-34476N,0.0036734693877551023,0.003366254472673534
CDK1,P06493,DIP-35N,0.0034693877551020408,0.005507947505804027
GRB2,P62993,DIP-29229N,0.0034693877551020408,0.015296860378019268
E2F1,Q01094,DIP-24227N,0.0034693877551020408,0.006366320931245784
RXRA,P19793,DIP-641N,0.0034693877551020408,0.005126840825228984
NFKB2,Q00653,DIP-27535N,0.0034693877551020408,0.0017521629938399212
