Gene,Uniprot_ID,DIP_ID,Degree_Centrality,Betweenness_Centrality
TP53,P04637,DIP-368N,0.017551020408163268,0.0773163975084276
BRCA1,P38398,DIP-5971N,0.0067346938775510205,0.012009322367710906
PDCD6IP,Q8WUM4,DIP-29327N,0.004081632653061225,0.006414639522495511
EP300,Q09472,DIP-257N,0.0032653061224489797,0.007073244909279337
NCOR2,Q9Y618,DIP-951N,0.002857142857142857,0.0021335907753982112
MAVS,Q7Z434,DIP-35445N,0.002857142857142857,0.006268899631794287
KMT2B,Q9UMN6,DIP-34598N,0.002653061224489796,0.0020339874305734746
TP53BP1,Q12888,DIP-5978N,0.002653061224489796,0.006222024484063621
IFIH1,Q9BYX4,DIP-42607N,0.002653061224489796,0.002998071818544877
TMEM173,Q86WV6,DIP-48847N,0.002653061224489796,0.002858289900805169
CLIP1,P30622,DIP-42826N,0.0024489795918367346,0.0028465754526586467
CHD7,Q9P2D1,DIP-48685N,0.0024489795918367346,0.0025861579373679874
BRCA2,P51587,DIP-24214N,0.0024489795918367346,0.0021336440645286837
MEN1,O00255,DIP-24236N,0.0022448979591836735,0.0011930474178020027
CASP8,Q14790,DIP-30915N,0.0022448979591836735,0.0030747763232371133
BUB1B,O60566,DIP-24203N,0.0022448979591836735,0.004255276050017268
CDKN1A,P38936,DIP-246N,0.0022448979591836735,0.0019416738898544916
ERBB2,P04626,DIP-8N,0.0020408163265306124,0.005316928431813227
DLG1,Q12959,DIP-33957N,0.0020408163265306124,0.0032455824624118275
HTT,P42858,DIP-32492N,0.0020408163265306124,0.0040521691559696465
PRNP,P04156,DIP-29933N,0.0018367346938775511,0.0008571607528247289
DSP,P15924,DIP-109N,0.0018367346938775511,0.0028224128665421035
BAIAP2L1,Q9UHR4,DIP-53820N,0.0018367346938775511,0.002179077627578904
PHF1,O43189,DIP-34001N,0.0018367346938775511,0.0014007144831764255
PIK3CA,P42336,DIP-42728N,0.0018367346938775511,0.004102674972929162
BMP2,P12643,DIP-5792N,0.0018367346938775511,0.003326302531202765
DROSHA,Q9NRR4,DIP-33300N,0.0018367346938775511,0.004719780083757578
MAP3K5,Q99683,DIP-29516N,0.0016326530612244899,0.0018274957377308267
AURKB,Q96GD4,DIP-34530N,0.0016326530612244899,0.003763285820547835
FHL2,Q14192,DIP-5980N,0.0016326530612244899,0.004399927980501198
CUL3,Q13618,DIP-31611N,0.0016326530612244899,5.573396029800423e-05
PLCG1,P19174,DIP-100N,0.0016326530612244899,0.006742738536895825
ZC3HAV1,Q7Z2W4,DIP-37896N,0.0016326530612244899,0.001039333687035853
TRADD,Q15628,DIP-285N,0.0016326530612244899,0.0002521063037508265
FN1,P02751,DIP-29547N,0.0016326530612244899,0.0022410156007033016
CACNA1C,Q13936,DIP-29589N,0.0016326530612244899,0.0023313871070928115
MYH9,P35579,DIP-33103N,0.0014285714285714286,0.0013378823666637505
CASP7,P55210,DIP-29973N,0.0014285714285714286,0.00013089944299205316
HJURP,Q8NCD3,DIP-53282N,0.0014285714285714286,0.00012107176245572142
CSF1,P09603,DIP-41860N,0.0014285714285714286,1.4996813177199845e-06
PLAUR,Q03405,DIP-137N,0.0014285714285714286,0.002022772108305421
EIF3B,P55884,DIP-31113N,0.0014285714285714286,0.0006690244989606375
FNBP1,Q96RU3,DIP-35355N,0.0014285714285714286,0.00020453973638244447
BCL2L2,Q92843,DIP-33700N,0.0014285714285714286,0.0008846227667163689
IFNAR2,P48551,DIP-945N,0.0014285714285714286,0.0010036617218840995
GP6,Q9HCN6,DIP-33875N,0.0014285714285714286,0.0011657470651250097
NGF,P01138,DIP-5712N,0.0014285714285714286,0.001356199830234975
LRRK2,Q5S007,DIP-29684N,0.0012244897959183673,0.002060245903905508
ISG15,P05161,DIP-29814N,0.0012244897959183673,0.0016723248948855695
BMP1,P13497,DIP-33403N,0.0012244897959183673,0.0013377990510349883
CHD4,Q14839,DIP-31183N,0.0012244897959183673,0.0011738626013838003
ACVRL1,P37023,DIP-5938N,0.0012244897959183673,0.006685723722140707
GSN,P06396,DIP-2196N,0.0012244897959183673,0.001219645501942199
NCOA2,Q15596,DIP-5997N,0.0012244897959183673,0.0030967576056832075
RNF168,Q8IYW5,DIP-37451N,0.0012244897959183673,0.0005872024365690935
DST,Q03001,DIP-33131N,0.0012244897959183673,0.0023854383719782487
SIRT6,Q8N6T7,DIP-47346N,0.0012244897959183673,0.002426576369918386
TCF4,P15884,DIP-163N,0.0012244897959183673,0.001359462441718314
EPRS,P07814,DIP-40825N,0.0012244897959183673,0.0001770269321356505
SDC1,P18827,DIP-1123N,0.0012244897959183673,0.0004171810562587719
SREBF2,Q12772,DIP-263N,0.0012244897959183673,0.000135894654104663
CD44,P16070,DIP-1121N,0.0012244897959183673,0.0014142618701040814
CASP9,P55211,DIP-27625N,0.0012244897959183673,0.0025327269214723324
TNFRSF1B,P20333,DIP-78N,0.0010204081632653062,0.0001942902614829464
MCM6,Q14566,DIP-31727N,0.0010204081632653062,0.00035271935497847064
SCRIB,Q14160,DIP-31259N,0.0010204081632653062,0.0008364190902901286
RRM2,P31350,DIP-24232N,0.0010204081632653062,0.0014616259178402266
ATXN1,P54253,DIP-35353N,0.0010204081632653062,0.0006691078145893997
STK4,Q13043,DIP-32491N,0.0010204081632653062,0.0005300713467867448
DNMBP,Q6XZF7,DIP-53822N,0.0010204081632653062,0.0007821324759473289
NLRP1,Q9C000,DIP-38407N,0.0010204081632653062,0.0026718933468634137
TTN,Q8WZ42,DIP-33449N,0.0010204081632653062,0.0006691078145893997
MKI67,P46013,DIP-28132N,0.0010204081632653062,0.0010615410278610065
KLF1,Q13351,DIP-43776N,0.0010204081632653062,0.0015772773107247196
TF,P02787,DIP-2738N,0.0010204081632653062,0.0012227120805136512
RAC2,P15153,DIP-34291N,0.0010204081632653062,0.0004778469776708
WIPF1,O43516,DIP-17015N,0.0010204081632653062,0.0006165838931660737
ROBO1,Q9Y6N7,DIP-33034N,0.0010204081632653062,1.9995750902933126e-06
KMT2C,Q8NEZ4,DIP-48649N,0.0010204081632653062,0.0011615352405555585
F2,P00734,DIP-6115N,0.0008163265306122449,0.001671894722371496
NRP2,O60462,DIP-5745N,0.0008163265306122449,0.0001719933132774158
PLA2G4A,P47712,DIP-40991N,0.0008163265306122449,0.0010035367484409563
IRF3,Q14653,DIP-41448N,0.0008163265306122449,0.000334595565109081
NSUN4,Q96CB9,DIP-58104N,0.0008163265306122449,0.000334595565109081
VWF,P04275,DIP-29667N,0.0008163265306122449,0.0
LEPR,P48357,DIP-6117N,0.0008163265306122449,8.331562876222136e-08
JMJD1C,Q15652,DIP-38114N,0.0008163265306122449,2.3068241630620657e-06
BIRC7,Q96CA5,DIP-33486N,0.0008163265306122449,0.0
ITGA4,P13612,DIP-34971N,0.0008163265306122449,0.0018191038146650482
CHEK1,O14757,DIP-24182N,0.0008163265306122449,0.00012891687089843315
GHR,P10912,DIP-630N,0.0008163265306122449,0.002005073921791619
TOPBP1,Q92547,DIP-24263N,0.0008163265306122449,0.0004025649603052954
NEDD4,P46934,DIP-29815N,0.0008163265306122449,0.0008908462144031211
IL10RA,Q13651,DIP-3512N,0.0008163265306122449,1.291392245814431e-06
AKAP5,P24588,DIP-186N,0.0008163265306122449,0.0008041583392592914
NTRK1,P04629,DIP-5714N,0.0008163265306122449,0.0029201777248331895
NFE2L2,Q16236,DIP-29971N,0.0008163265306122449,0.004102774249818892
MTA1,Q13330,DIP-41751N,0.0008163265306122449,0.0008164381551266177
FGFR4,P22455,DIP-5149N,0.0008163265306122449,5.940758806358095e-06
MAD1L1,Q9Y6D9,DIP-29654N,0.0008163265306122449,0.000334595565109081
TLR4,O00206,DIP-34769N,0.0008163265306122449,0.0
CDT1,Q9H211,DIP-31089N,0.0008163265306122449,0.000432743797838772
ING1,Q9UK53,DIP-24258N,0.0008163265306122449,0.0002309925088401281
USH1C,Q9Y6N9,DIP-41473N,0.0008163265306122449,4.998937725733282e-07
ADRB2,P07550,DIP-33948N,0.0008163265306122449,0.0013655718359336139
WRN,Q14191,DIP-31380N,0.0008163265306122449,0.0005364250840847865
ITGAV,P06756,DIP-31785N,0.0008163265306122449,0.0008862135734489797
HGFAC,Q04756,DIP-6022N,0.0008163265306122449,0.0006691078145893999
SIRT3,Q9NTG7,DIP-46861N,0.0008163265306122449,0.0010035367484409563
PARK2,O60260,DIP-37655N,0.0008163265306122449,0.00014188822594842605
LILRB2,Q8N423,DIP-59888N,0.0008163265306122449,6.248672157166602e-07
COL3A1,P02461,DIP-57177N,0.0008163265306122449,8.331562876222136e-08
KPNA1,P52294,DIP-29296N,0.0008163265306122449,0.0008080936082408976
TAP1,Q03518,DIP-35626N,0.0008163265306122449,0.00033459556510908087
NCF2,P19878,DIP-76N,0.0008163265306122449,0.0010035367484409563
TYK2,P29597,DIP-1062N,0.0006122448979591836,0.00029625718807326564
PCSK9,Q8NBP7,DIP-29694N,0.0006122448979591836,0.0
CLEC2A,Q6UVW9,DIP-58611N,0.0006122448979591836,0.0
PML,P29590,DIP-33053N,0.0006122448979591836,0.0003345955651090809
BLVRA,P53004,DIP-42180N,0.0006122448979591836,0.0003143440970298159
CSF2,P04141,DIP-386N,0.0006122448979591836,0.0016716447754852092
HIP1R,O75146,DIP-17042N,0.0006122448979591836,0.0
DCC,P43146,DIP-38423N,0.0006122448979591836,0.0016713948285989226
DLAT,P10515,DIP-29496N,0.0006122448979591836,0.0
COPG1,Q9Y678,DIP-29872N,0.0006122448979591836,0.00012538622145147598
KLRF2,D3W0D1,DIP-58610N,0.0006122448979591836,0.0
PTPN23,Q9H3S7,DIP-29923N,0.0006122448979591836,0.0012233126201137944
FLT4,P35916,DIP-5739N,0.0006122448979591836,0.00016343723771982733
PLEKHM2,Q8IWE5,DIP-46410N,0.0006122448979591836,4.998937725733282e-07
NUMA1,Q14980,DIP-32937N,0.0006122448979591836,0.0007002880047246192
AGXT,P21549,DIP-59650N,0.0006122448979591836,0.0
ARTN,Q5T4W7,DIP-29113N,0.0006122448979591836,0.0
XPC,Q01831,DIP-31225N,0.0006122448979591836,6.347056515718546e-05
FCHO2,Q0JRZ9,DIP-29488N,0.0006122448979591836,0.0
GIMAP2,Q9UG22,DIP-59483N,0.0006122448979591836,0.0
IL13,P35225,DIP-3224N,0.0006122448979591836,4.1657814381110676e-07
MINA,Q8IUF8,DIP-28141N,0.0006122448979591836,0.0
ALCAM,Q13740,DIP-39093N,0.0006122448979591836,0.0
ACACB,O00763,DIP-51617N,0.0006122448979591836,0.0
COG4,Q9H9E3,DIP-32635N,0.0006122448979591836,0.0
MBL2,P11226,DIP-61381N,0.0006122448979591836,0.0
CUBN,O60494,DIP-58583N,0.0006122448979591836,0.0
OBSL1,O75147,DIP-38340N,0.0006122448979591836,0.001337632419777464
INCENP,Q9NQS7,DIP-31304N,0.0006122448979591836,0.00025835347712710775
SP100,P23497,DIP-5983N,0.0006122448979591836,4.912602244649254e-05
LBR,Q14739,DIP-5987N,0.0006122448979591836,4.912602244649254e-05
RAD18,Q9NS91,DIP-29831N,0.0006122448979591836,0.0
IQGAP2,Q13576,DIP-27542N,0.0006122448979591836,0.0010608587898894213
LRP8,Q14114,DIP-48670N,0.0006122448979591836,0.0016660595406546574
TNFSF14,O43557,DIP-3016N,0.0006122448979591836,0.0
APOE,P02649,DIP-1120N,0.0006122448979591836,0.0007557730664877093
PDLIM5,Q96HC4,DIP-34898N,0.0006122448979591836,6.69549702424533e-05
PDE3A,Q14432,DIP-42197N,0.0006122448979591836,0.0
EPS8,Q12929,DIP-32859N,0.0006122448979591836,0.0023997547333043817
PRC1,O43663,DIP-34436N,0.0006122448979591836,0.0
APEX1,P27695,DIP-6130N,0.0006122448979591836,0.0006870072794284855
IL10RB,Q08334,DIP-6016N,0.0006122448979591836,1.7079703896255377e-06
BARD1,Q99728,DIP-5972N,0.0006122448979591836,0.0
MMP9,P14780,DIP-29518N,0.0006122448979591836,0.0
CD5,P06127,DIP-21N,0.0006122448979591836,0.00019442183539706973
SENP2,Q9HC62,DIP-29254N,0.0006122448979591836,1.3406225166468297e-05
DCLRE1B,Q9H816,DIP-42669N,0.0006122448979591836,0.0
BCAR1,P56945,DIP-33855N,0.0006122448979591836,0.0003600504478031436
EFNA1,P20827,DIP-98N,0.0006122448979591836,0.0017716115314289518
ADAR,P55265,DIP-29310N,0.0006122448979591836,0.0
CCNH,P51946,DIP-5996N,0.0006122448979591836,0.0005488324848513809
TPX2,Q9ULW0,DIP-36727N,0.0006122448979591836,0.0
HNF1A,P20823,DIP-33544N,0.00040816326530612246,0.0003345955651090809
IL4R,P24394,DIP-3223N,0.00040816326530612246,2.499468862866641e-07
ID3,Q02535,DIP-713N,0.00040816326530612246,6.989141068411682e-06
TEK,Q02763,DIP-6047N,0.00040816326530612246,8.331562876222136e-08
LIG4,P49917,DIP-37958N,0.00040816326530612246,0.000334595565109081
SH2D3C,Q8N5H7,DIP-59443N,0.00040816326530612246,0.000634597535580875
DLC1,Q96QB1,DIP-56928N,0.00040816326530612246,0.000334595565109081
DOCK1,Q14185,DIP-29391N,0.00040816326530612246,0.00048162234057717276
DDC,P20711,DIP-40563N,0.00040816326530612246,0.0
GRM1,Q13255,DIP-57522N,0.00040816326530612246,0.0
EME1,Q96AY2,DIP-48629N,0.00040816326530612246,8.331562876222136e-08
PHC1,P78364,DIP-44567N,0.00040816326530612246,1.9680829240812162e-06
ZBP1,Q9H171,DIP-44121N,0.00040816326530612246,0.0
ITGA2B,P08514,DIP-68N,0.00040816326530612246,0.0
SYNE2,Q8WXH0,DIP-53409N,0.00040816326530612246,0.0007353261387951134
IL3,P08700,DIP-6N,0.00040816326530612246,0.000334595565109081
APLF,Q8IW19,DIP-39136N,0.00040816326530612246,1.2305534262543772e-05
FBN1,P35555,DIP-29985N,0.00040816326530612246,0.0
CDON,Q4KMG0,DIP-57226N,0.00040816326530612246,2.499468862866641e-07
NUF2,Q9BZD4,DIP-36119N,0.00040816326530612246,8.205884027941892e-06
ANKRD27,Q96NW4,DIP-57614N,0.00040816326530612246,0.0
ZWILCH,Q9H900,DIP-36478N,0.00040816326530612246,0.0
MCPH1,Q8NEM0,DIP-39802N,0.00040816326530612246,0.0
AKAP13,Q12802,DIP-180N,0.00040816326530612246,0.000334595565109081
IGFBP1,P08833,DIP-59846N,0.00040816326530612246,0.0003344289338515565
KCNU1,A8MYU2,DIP-60091N,0.00040816326530612246,0.0
HLA-DMB,P28068,DIP-6185N,0.00040816326530612246,2.499468862866641e-07
ZFYVE27,Q5T4F4,DIP-61530N,0.00040816326530612246,0.000334595565109081
PDE5A,O76074,DIP-46287N,0.00040816326530612246,0.0
MYOM1,P52179,DIP-59649N,0.00040816326530612246,0.0
GBP1,P32455,DIP-60423N,0.00040816326530612246,0.0
PDCD4,Q53EL6,DIP-29756N,0.00040816326530612246,0.0020682039232504715
BCORL1,Q5H9F3,DIP-60148N,0.00040816326530612246,5.470526753886598e-05
ESYT2,A0FGR8,DIP-61039N,0.00040816326530612246,0.0
THG1L,Q9NWX6,DIP-59479N,0.00040816326530612246,0.0
NDC80,O14777,DIP-35100N,0.00040816326530612246,8.205884027941892e-06
VDR,P11473,DIP-32624N,0.00040816326530612246,8.240122208025902e-05
FGA,P02671,DIP-29643N,0.00040816326530612246,0.00021127434202582865
TRIM33,Q9UPN9,DIP-54262N,0.00040816326530612246,0.0
EXO1,Q9UQ84,DIP-36701N,0.00040816326530612246,7.069004171922936e-05
MARK3,P27448,DIP-34637N,0.00040816326530612246,0.0025342761231220293
ANTXR2,P58335,DIP-32476N,0.00040816326530612246,0.000334595565109081
RHCG,Q9UBD6,DIP-59334N,0.00040816326530612246,0.0
