uniprot_id,value,value2,value3,value3
P10275,0.048983862,0.017819715,0.048983862,0.048983862
P35222,0.041812491,0.041812491,0.041812491,0.041812491
P21333,0.035009695,0.035009695,0.035009695,0.035009695
P00533,0.028095568,0.028095568,0.028095568,0.028095568
P01375,0.022653742,0.022653742,0.022653742,0.022653742
P31749,0.022582264,0.022582264,0.022582264,0.022582264
Q03135,0.020696631,0.020696631,0.020696631,0.020696631
P24385,0.020642638,0.020642638,0.020642638,0.020642638
P07900,0.019420654,0.019420654,0.019420654,0.019420654
Q9Y4K3,0.01910046,0.01910046,0.01910046,0.01910046
O60341,0.019069238,0.019069238,0.019069238,0.019069238
Q9UKV8,0.017819715,0.017819715,0.014416898,0.014416898
P42345,0.01680731,0.01680731,0.01680731,0.01680731
P06213,0.016071026,0.016071026,0.016071026,0.016071026
P34015,0.01583578,0.01583578,0.01583578,0.01583578
P06400,0.01575088,0.01575088,0.01575088,0.01575088
O75385,0.015738855,0.015738855,0.015738855,0.015738855
P62993,0.01529686,0.01529686,0.01529686,0.01529686
P49450,0.014788711,0.014788711,0.014788711,0.014788711
Q96EB6,0.0147076,0.0147076,0.0147076,0.0147076
Q13616,0.014595409,0.014595409,0.014595409,0.014595409
P09619,0.014434513,0.014434513,0.014434513,0.014434513
Q9BTM9,0.014416898,0.014416898,0.014416898,0.014416898
Q9GZQ8,0.013892575,0.013892575,0.013892575,0.013892575
P30260,0.013780073,0.013780073,0.013780073,0.013780073
P62158,0.013646553,0.013646553,0.013646553,0.013646553
P09874,0.013615652,0.013615652,0.013615652,0.013615652
Q92793,0.013614401,0.013614401,0.013614401,0.013614401
P36897,0.013584737,0.013584737,0.013584737,0.013584737
P03372,0.013515437,0.013515437,0.013515437,0.013515437
P25963,0.013342201,0.013342201,0.013342201,0.013342201
Q99496,0.013084303,0.013084303,0.013084303,0.013084303
P46937,0.01288378,0.01288378,0.01288378,0.01288378
Q14457,0.012724477,0.012724477,0.012724477,0.012724477
Q00987,0.012588384,0.012588384,0.012588384,0.012588384
Q13625,0.012240136,0.012240136,0.012240136,0.012240136
P05412,0.011778257,0.011778257,0.011778257,0.011778257
P22681,0.011630864,0.011630864,0.011630864,0.011630864
Q13153,0.011602582,0.011602582,0.013615652,0.013615652
P04049,0.011445827,0.011445827,0.011445827,0.011445827
P36405,0.011204652,0.011204652,0.011204652,0.011204652
Q13546,0.011179724,0.011179724,0.011179724,0.011179724
O15164,0.010999205,0.010999205,0.010999205,0.010999205
Q07817,0.010722266,0.010722266,0.010722266,0.010722266
P98170,0.010672531,0.010672531,0.010672531,0.010672531
P63000,0.010231938,0.010231938,0.010231938,0.010231938
P12931,0.010181867,0.010181867,0.010181867,0.010181867
P12004,0.009924843,0.009924843,0.009924843,0.009924843
O75581,0.009486546,0.009486546,0.009486546,0.009486546
P27986,0.009282912,0.009282912,0.009282912,0.009282912
P32121,0.009282522,0.009282522,0.009282522,0.009282522
P08047,0.00910778,0.00910778,0.00910778,0.00910778
Q9Y4E8,0.008697155,0.008697155,0.008697155,0.008697155
Q04206,0.008690376,0.008690376,0.008690376,0.008690376
Q12933,0.008554217,0.008554217,0.008554217,0.008554217
Q9Y6K9,0.008548867,0.008548867,0.008548867,0.008548867
Q15653,0.008526627,0.008526627,0.008526627,0.008526627
P01112,0.008495013,0.008495013,0.008495013,0.008495013
P51787,0.008489027,0.008489027,0.008489027,0.008489027
O75460,0.008411179,0.008411179,0.008411179,0.008411179
P63279,0.008006447,0.008006447,0.008006447,0.008006447
Q13547,0.0079471,0.0079471,0.0079471,0.0079471
P63165,0.007919843,0.007919843,0.007919843,0.007919843
Q13127,0.007910702,0.007910702,0.007910702,0.007910702
